ID,ID
No,No
"Use Default","Use Default"
Delete,Delete
Yes,Yes
Status,Status
"Save and Continue Edit","Save and Continue Edit"
Banners,Banners
"Add Banner","Add Banner"
"Save Banner","Save Banner"
"Delete Banner","Delete Banner"
"New Banner","New Banner"
Content,Content
"Default Content","Default Content"
"No Default Content","No Default Content"
"Banner Default Content for All Store Views","Banner Default Content for All Store Views"
"Store View Specific Content","Store View Specific Content"
"Related Promotions","Related Promotions"
Rule,Rule
"Start on","Start on"
"End on","End on"
"Banner Properties","Banner Properties"
"Banner Name","Banner Name"
Active,Active
"Applies To","Applies To"
"Any Banner Type","Any Banner Type"
"Specified Banner Types","Specified Banner Types"
"Specify Types","Specify Types"
"Banner Information","Banner Information"
Banner,Banner
"Banner Types","Banner Types"
Visibility,Visibility
"Are you sure you want to delete these banners?","Are you sure you want to delete these banners?"
"Related Banners","Related Banners"
Position,Position
"This banner no longer exists.","This banner no longer exists."
"Edit Banner","Edit Banner"
"This banner does not exist.","This banner does not exist."
"You saved the banner.","You saved the banner."
"We cannot save the banner.","We cannot save the banner."
"The banner has been deleted.","The banner has been deleted."
"Something went wrong deleting banner data. Please review the action log and try again.","Something went wrong deleting banner data. Please review the action log and try again."
"We cannot find a banner to delete.","We cannot find a banner to delete."
"Please select a banner(s).","Please select a banner(s)."
"You deleted %1 record(s).","You deleted %1 record(s)."
"Something went wrong mass-deleting banners. Please review the action log and try again.","Something went wrong mass-deleting banners. Please review the action log and try again."
"This rule no longer exists.","This rule no longer exists."
"Please enter a name.","Please enter a name."
"Please specify default content for at least one store view.","Please specify default content for at least one store view."
"-- None --","-- None --"
"Related Shopping Cart Price Rules","Related Shopping Cart Price Rules"
"Related Catalog Price Rules","Related Catalog Price Rules"
"Manage Banners","Manage Banners"
"Banner Rotator","Banner Rotator"
"Displays Specified or Promotion Banners","Displays Specified or Promotion Banners"
"Banners to Display","Banners to Display"
"Specified Banners","Specified Banners"
"Shopping Cart Promotions Related","Shopping Cart Promotions Related"
"Catalog Promotions Related","Catalog Promotions Related"
"Restrict by Banner Types","Restrict by Banner Types"
"Rotation Mode","Rotation Mode"
"Display all instead of rotating","Display all instead of rotating"
"One at the time, Random","One at the time, Random"
"One at the time, Series","One at the time, Series"
"One at the time, Shuffle","One at the time, Shuffle"
"Specify Banners","Specify Banners"
"Banner Block Template","Banner Block Template"
"Banner Inline Template","Banner Inline Template"
