All,All
Back,Back
Products,Products
ID,ID
Customers,Customers
"Shopping Cart","Shopping Cart"
Subtotal,Subtotal
Total,Total
Customer,Customer
"Grand Total","Grand Total"
Average,Average
Tax,Tax
Shipping,Shipping
Email,Email
Name,Name
Status,Status
"Save and Continue Edit","Save and Continue Edit"
Description,Description
Any,Any
Website,Website
Specified,Specified
Active,Active
"Product Attributes","Product Attributes"
Conditions,Conditions
Inactive,Inactive
"Conditions Combination","Conditions Combination"
Country,Country
State/Province,State/Province
Sales,Sales
"Registered Customers","Registered Customers"
"Store Credit","Store Credit"
Segments,Segments
"Add Segment","Add Segment"
"Refresh Segment Data","Refresh Segment Data"
"Edit Segment '%1'","Edit Segment '%1'"
"New Segment","New Segment"
"Segment Information","Segment Information"
"* applicable to visitors and registered customers","* applicable to visitors and registered customers"
"General Properties","General Properties"
"Segment Name","Segment Name"
"Assigned to Website","Assigned to Website"
"Apply To","Apply To"
"Visitors and Registered Customers","Visitors and Registered Customers"
Visitors,Visitors
"Please save this information to specify segmentation conditions.","Please save this information to specify segmentation conditions."
"Matched Customers (%1)","Matched Customers (%1)"
Segment,Segment
"Customer Segment Report","Customer Segment Report"
"Customer Segment Report '%1'","Customer Segment Report '%1'"
"Customer Segments Report","Customer Segments Report"
"You requested the wrong customer segment.","You requested the wrong customer segment."
"Customer Segments","Customer Segments"
"Edit Segment","Edit Segment"
"Segment Customers matching error","Segment Customers matching error"
"You saved the segment.","You saved the segment."
"We're unable to save the segment.","We're unable to save the segment."
"You deleted the segment.","You deleted the segment."
"We're unable to delete the segement.","We're unable to delete the segement."
Reports,Reports
"Viewing combined ""%1"" report from segments: %2.","Viewing combined ""%1"" report from segments: %2."
Details,Details
"Customer Segment data has been refreshed.","Customer Segment data has been refreshed."
Union,Union
Intersection,Intersection
"Applies to All of the Specified Customer Segments","Applies to All of the Specified Customer Segments"
"Apply to the Selected Customer Segments","Apply to the Selected Customer Segments"
contains,contains
"does not contains","does not contains"
"Matched %1 Customers of Segment %2","Matched %1 Customers of Segment %2"
"Customer Segment","Customer Segment"
"Use in Customer Segment","Use in Customer Segment"
"Unknown operator specified.","Unknown operator specified."
"Customer Address","Customer Address"
"Product List","Product List"
"Product History","Product History"
"Wrong ""ApplyTo"" type","Wrong ""ApplyTo"" type"
"If Customer Addresses match %1 of these Conditions:","If Customer Addresses match %1 of these Conditions:"
"Address Attributes","Address Attributes"
"Customer Address %1","Customer Address %1"
"Default Address","Default Address"
Billing,Billing
"Customer Address %1 Default %2 Address","Customer Address %1 Default %2 Address"
"Has State/Province","Has State/Province"
"If Customer Address %1 State/Province specified","If Customer Address %1 State/Province specified"
has,has
"does not have","does not have"
exists,exists
"does not exist","does not exist"
"Customer %1","Customer %1"
"Newsletter Subscription","Newsletter Subscription"
"Customer is %1 to newsletter.","Customer is %1 to newsletter."
subscribed,subscribed
"not subscribed","not subscribed"
"Customer Store Credit Amount %1 %2:","Customer Store Credit Amount %1 %2:"
"Date Range","Date Range"
"Open Chooser","Open Chooser"
"Date Range %1 within %2","Date Range %1 within %2"
"If Order Addresses match %1 of these Conditions:","If Order Addresses match %1 of these Conditions:"
"Order Address Attributes","Order Address Attributes"
"Order Address %1","Order Address %1"
"Address Type","Address Type"
"Order Address %1 a %2 Address","Order Address %1 a %2 Address"
"Order Status","Order Status"
"Order Status %1 %2:","Order Status %1 %2:"
"Product %1","Product %1"
"Date Ranges","Date Ranges"
viewed,viewed
ordered,ordered
was,was
"was not","was not"
"If Product %1 %2 and matches %3 of these Conditions:","If Product %1 %2 and matches %3 of these Conditions:"
"Wish List","Wish List"
found,found
"not found","not found"
"If Product is %1 in the %2 with %3 of these Conditions match:","If Product is %1 in the %2 with %3 of these Conditions match:"
"Order Address","Order Address"
"Sales Amount","Sales Amount"
"Number of Orders","Number of Orders"
"Purchased Quantity","Purchased Quantity"
"Number of Orders %1 %2 while %3 of these Conditions match:","Number of Orders %1 %2 while %3 of these Conditions match:"
"%1 Purchased Quantity %2 %3 while %4 of these Conditions match:","%1 Purchased Quantity %2 %3 while %4 of these Conditions match:"
"%1 Sales Amount %2 %3 while %4 of these Conditions match:","%1 Sales Amount %2 %3 while %4 of these Conditions match:"
"If Customer Segment %1 %2","If Customer Segment %1 %2"
matches,matches
"does not match","does not match"
"is one of","is one of"
"is not one of","is not one of"
"Shopping Cart Total","Shopping Cart Total"
"Gift Card","Gift Card"
"Shopping Cart %1 Amount %2 %3:","Shopping Cart %1 Amount %2 %3:"
"Unknown quote total specified.","Unknown quote total specified."
"Number of Cart Line Items","Number of Cart Line Items"
"Number of Shopping Cart Line Items %1 %2:","Number of Shopping Cart Line Items %1 %2:"
"Products Quantity","Products Quantity"
"Shopping Cart Products Qty %1 %2:","Shopping Cart Products Qty %1 %2:"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"less than","less than"
"Up To Date","Up To Date"
"Period %1 %2 Days Up To Date","Period %1 %2 Days Up To Date"
"Website Filter values","Website Filter values"
CSV,CSV
"Excel XML","Excel XML"
Set,Set
Group,Group
Phone,Phone
ZIP,ZIP
"Customer Since","Customer Since"
"Enable Customer Segment Functionality","Enable Customer Segment Functionality"
"Refresh Data","Refresh Data"
"Manage Segments","Manage Segments"
"View Combined Report","View Combined Report"
