Back,Back
ID,ID
Customers,Customers
"First Name","First Name"
"Last Name","Last Name"
Email,Email
General,General
Name,Name
Status,Status
"Store View","Store View"
"Are you sure you want to do this?","Are you sure you want to do this?"
Website,Website
N/A,N/A
"* Required Fields","* Required Fields"
"Customer Group","Customer Group"
"Send From","Send From"
Sent,Sent
"Not Sent","Not Sent"
"Bad request.","Bad request."
Admin,Admin
Reports,Reports
Message,Message
Invitations,Invitations
"Add Invitations","Add Invitations"
"New Invitations","New Invitations"
"Invitations Information","Invitations Information"
"Enter Each Email on New Line","Enter Each Email on New Line"
"Invitee Group","Invitee Group"
"View Invitation for %1 (ID: %2)","View Invitation for %1 (ID: %2)"
"Discard Invitation","Discard Invitation"
"Are you sure you want to discard this invitation?","Are you sure you want to discard this invitation?"
"Save Invitation","Save Invitation"
"Send Invitation","Send Invitation"
"Default from System Configuration","Default from System Configuration"
"Status History","Status History"
"Order Conversion Rate","Order Conversion Rate"
"We couldn't find this invitation.","We couldn't find this invitation."
"Please specify at least one email address.","Please specify at least one email address."
"We sent %1 invitation(s).","We sent %1 invitation(s)."
"Something went wrong sending %1 of %2 invitations.","Something went wrong sending %1 of %2 invitations."
"%1 invitation(s) were not sent, because customer accounts already exist for specified email addresses.","%1 invitation(s) were not sent, because customer accounts already exist for specified email addresses."
"The invitation has been saved.","The invitation has been saved."
"Please select invitations.","Please select invitations."
"No invitations have been resent.","No invitations have been resent."
"We sent %1 of %2 invitations.","We sent %1 of %2 invitations."
"Something went wrong sending %1 invitations.","Something went wrong sending %1 invitations."
"We discarded %1 invitation(s) addressed to current customers.","We discarded %1 invitation(s) addressed to current customers."
"We discarded %1 of %2 invitations.","We discarded %1 of %2 invitations."
"We skipped %1 of the selected invitations.","We skipped %1 of the selected invitations."
"Invitations Report","Invitations Report"
"General Report","General Report"
"Invited Customers Report","Invited Customers Report"
"Invitation Report by Customers","Invitation Report by Customers"
"Conversion Rate Report","Conversion Rate Report"
"Invitation Report by Order Conversion Rate","Invitation Report by Order Conversion Rate"
"Your invitation is not valid. Please create an account.","Your invitation is not valid. Please create an account."
"Your invitation is not valid. Please contact us at %1.","Your invitation is not valid. Please contact us at %1."
"Unable to save the customer.","Unable to save the customer."
"Wrong confirmation key.","Wrong confirmation key."
"You sent the invitation for %1.","You sent the invitation for %1."
"Something went wrong sending an email to %1.","Something went wrong sending an email to %1."
"We did not send %1 invitation(s) addressed to current customers.","We did not send %1 invitation(s) addressed to current customers."
"Send Invitations","Send Invitations"
"My Invitations","My Invitations"
"Max Invitations Allowed to be Sent at One Time","Max Invitations Allowed to be Sent at One Time"
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead."
"Same as Inviter","Same as Inviter"
"Default Customer Group from System Configuration","Default Customer Group from System Configuration"
"By Invitation Only","By Invitation Only"
"Available to All","Available to All"
"Please correct the invitation code.","Please correct the invitation code."
"You need to specify a customer ID group.","You need to specify a customer ID group."
"The wrong store is specified.","The wrong store is specified."
"You can't update this message.","You can't update this message."
"We can't generate encrypted code.","We can't generate encrypted code."
"We couldn't find an ID for this invitation.","We couldn't find an ID for this invitation."
"We cannot send an invitation with status ""%1"".","We cannot send an invitation with status ""%1""."
"Please correct the invalid or empty invitation email.","Please correct the invalid or empty invitation email."
"We can't identify the proper website.","We can't identify the proper website."
"Please specify an email.","Please specify an email."
"This invitation is addressed to a current customer: ""%1"".","This invitation is addressed to a current customer: ""%1""."
"This invitation is not valid.","This invitation is not valid."
"Please correct the invitation email.","Please correct the invitation email."
"Invitation for same email address","Invitation for same email address"
Accepted,Accepted
Discarded,Discarded
"Invitation Information","Invitation Information"
"Send At","Send At"
"Invitation Message","Invitation Message"
"Signed Up At","Signed Up At"
"Invitation URL","Invitation URL"
Link,Link
"Invitee Information","Invitee Information"
"Customer ID","Customer ID"
"Sign Up At","Sign Up At"
"Inviter Information","Inviter Information"
"Invite your friends by entering their email addresses.","Invite your friends by entering their email addresses."
"Back to Invitations","Back to Invitations"
"You cannot send more invitations","You cannot send more invitations"
"There are no sent invitations.","There are no sent invitations."
Group,Group
"Customer Invitation Email Sender","Customer Invitation Email Sender"
"Customer Invitation Email Template","Customer Invitation Email Template"
"Enable Invitations Functionality","Enable Invitations Functionality"
"Enable Invitations on Frontend","Enable Invitations on Frontend"
"Referred Customer Group","Referred Customer Group"
"New Accounts Registration","New Accounts Registration"
"Allow Customers to Add Custom Message to Invitation Email","Allow Customers to Add Custom Message to Invitation Email"
"Customer Invitations","Customer Invitations"
"Discard Selected","Discard Selected"
"Send Selected","Send Selected"
Invitee,Invitee
Registered,Registered
"Valid Website","Valid Website"
"Invitations Sent","Invitations Sent"
"Invitations Accepted","Invitations Accepted"
"Accept Rate","Accept Rate"
"Discard Rate","Discard Rate"
"Accepted and Purchased","Accepted and Purchased"
"Conversion Rate","Conversion Rate"
"Wrong customer account specified.","Wrong customer account specified."
"Invited Customers","Invited Customers"
Conversions,Conversions
