ID,ID
SKU,SKU
"Shopping Cart","Shopping Cart"
No,No
Email,Email
Yes,Yes
Status,Status
"Save and Continue Edit","Save and Continue Edit"
"Store View","Store View"
Description,Description
Website,Website
Rule,Rule
"Start on","Start on"
"End on","End on"
Active,Active
N/A,N/A
"General Information","General Information"
"Product Attributes","Product Attributes"
"Add New Rule","Add New Rule"
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","New Rule"
"Rule Information","Rule Information"
Conditions,Conditions
"Rule Name","Rule Name"
Inactive,Inactive
"From Date","From Date"
"To Date","To Date"
"Edit Rule","Edit Rule"
Daily,Daily
"Assigned to Website","Assigned to Website"
"Unknown operator specified.","Unknown operator specified."
has,has
"does not have","does not have"
"Product %1","Product %1"
"Wish List","Wish List"
found,found
"not found","not found"
"Email Templates","Email Templates"
"-- Not Selected --","-- Not Selected --"
"This rule is assigned to %1 automated reminder rule(s). Deleting this rule will automatically unassign it.","This rule is assigned to %1 automated reminder rule(s). Deleting this rule will automatically unassign it."
"Automated Email Marketing Reminder Rules","Automated Email Marketing Reminder Rules"
"Are you sure you want to match this rule now?","Are you sure you want to match this rule now?"
"No more than %1 customers may receive the reminder email after this action.","No more than %1 customers may receive the reminder email after this action."
"Run Now","Run Now"
"Email Reminder Rule","Email Reminder Rule"
"You need to set at least one condition for this rule to work.","You need to set at least one condition for this rule to work."
"Matched At","Matched At"
"Thread Active","Thread Active"
Coupon,Coupon
"Coupon Use Limit","Coupon Use Limit"
"Coupon Use Per Customer","Coupon Use Per Customer"
"Emails Sent","Emails Sent"
"Emails Failed","Emails Failed"
"Last Sent","Last Sent"
"Reminder emails may promote a shopping cart price rule with or without a coupon. If a shopping cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.","Reminder emails may promote a shopping cart price rule with or without a coupon. If a shopping cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer."
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Promotion rule this reminder will advertise.","Promotion rule this reminder will advertise."
"Repeat Schedule","Repeat Schedule"
"Enter the number of days before email reminder rule is triggered if conditions match (comma separate, e.g., ""7, 14"").","Enter the number of days before email reminder rule is triggered if conditions match (comma separate, e.g., ""7, 14"")."
"Select Rule...","Select Rule..."
