Orders,Orders
Add,Add
CSV,CSV
"Excel XML","Excel XML"
"Credit Memos","Credit Memos"
Invoices,Invoices
Shipments,Shipments
"Orders Archive","Orders Archive"
"Credit Memos Archive","Credit Memos Archive"
"Invoices Archive","Invoices Archive"
"Shipments Archive","Shipments Archive"
"Go to Archive (%1 orders)","Go to Archive (%1 orders)"
"Move to Archive","Move to Archive"
"Move to Order Managment","Move to Order Managment"
"We removed %1 order(s) from the archive.","We removed %1 order(s) from the archive."
"We archived %1 order(s).","We archived %1 order(s)."
"We can't archive the selected order(s).","We can't archive the selected order(s)."
"We have archived the order.","We have archived the order."
"Please specify the order ID to be archived.","Please specify the order ID to be archived."
"We have removed the order from the archive.","We have removed the order from the archive."
"Please specify the order ID to be removed from archive.","Please specify the order ID to be removed from archive."
"We can't find the table.","We can't find the table."
"Column not found","Column not found"
"Positioning column not found","Positioning column not found"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled."
"Print Shipping Labels","Print Shipping Labels"
"PDF Packing Slips","PDF Packing Slips"
"Orders, Invoices, Shipments, Credit Memos Archiving","Orders, Invoices, Shipments, Credit Memos Archiving"
"Enable Archiving","Enable Archiving"
"Archive Orders Purchased","Archive Orders Purchased"
"Order Statuses to be Archived","Order Statuses to be Archived"
"Mass Add","Mass Add"
"Sales Archive","Sales Archive"
"Move to Orders Management","Move to Orders Management"
