Action,Action
Edit,Edit
"User Name","User Name"
Delete,Delete
Name,Name
Status,Status
Disabled,Disabled
Enabled,Enabled
Description,Description
Export,Export
label,label
Import,Import
"Change status","Change status"
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
Successful,Successful
Failed,Failed
Password,Password
Daily,Daily
Weekly,Weekly
Monthly,Monthly
Pending,Pending
"Export Settings","Export Settings"
"Entity Type","Entity Type"
"Import Settings","Import Settings"
"Import Behavior","Import Behavior"
"Entity Attributes","Entity Attributes"
"Add Scheduled Export","Add Scheduled Export"
"Add Scheduled Import","Add Scheduled Import"
"Scheduled Import/Export","Scheduled Import/Export"
"Please correct the scheduled operation type.","Please correct the scheduled operation type."
"Start Time","Start Time"
Frequency,Frequency
"Server Type","Server Type"
"File Directory","File Directory"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir"
"FTP Host[:Port]","FTP Host[:Port]"
"File Mode","File Mode"
"Passive Mode","Passive Mode"
"Failed Email Receiver","Failed Email Receiver"
"Failed Email Sender","Failed Email Sender"
"Failed Email Template","Failed Email Template"
"Send Failed Email Copy To","Send Failed Email Copy To"
"Send Failed Email Copy Method","Send Failed Email Copy Method"
"Export File Information","Export File Information"
"Export Failed Emails","Export Failed Emails"
"File Format","File Format"
"Import File Information","Import File Information"
"Import Failed Emails","Import Failed Emails"
"On Error","On Error"
"File Name","File Name"
"Clean Now","Clean Now"
"Scheduled Imports/Exports","Scheduled Imports/Exports"
"We couldn't save the scheduled operation.","We couldn't save the scheduled operation."
"Something sent wrong deleting the scheduled operation.","Something sent wrong deleting the scheduled operation."
"We deleted a total of %1 record(s).","We deleted a total of %1 record(s)."
"We cannot delete all items.","We cannot delete all items."
"We cannot change status for all items.","We cannot change status for all items."
"No valid data sent","No valid data sent"
"The operation ran.","The operation ran."
"Unable to run operation","Unable to run operation"
"We deleted the history files.","We deleted the history files."
"Something went wrong deleting the history files.","Something went wrong deleting the history files."
"Scheduled Import","Scheduled Import"
"New Scheduled Import","New Scheduled Import"
"Scheduled Export","Scheduled Export"
"New Scheduled Export","New Scheduled Export"
"We saved the scheduled import.","We saved the scheduled import."
"We saved the scheduled report.","We saved the scheduled report."
"We deleted the scheduled import.","We deleted the scheduled import."
"We deleted the scheduled export.","We deleted the scheduled export."
"Are you sure you want to delete this scheduled import?","Are you sure you want to delete this scheduled import?"
"Are you sure you want to delete this scheduled export?","Are you sure you want to delete this scheduled export?"
"""We couldn't create directory "" '""%1""'","""We couldn't create directory "" '""%1""'"
"The directory ""%1"" is not writable.","The directory ""%1"" is not writable."
"We couldn't delete ""%1"" because the directory is not writable.","We couldn't delete ""%1"" because the directory is not writable."
"We were unable to save the cron expression.","We were unable to save the cron expression."
"Unable to delete the cron task.","Unable to delete the cron task."
"Please correct the cron job task","Please correct the cron job task"
"File has been not created","File has been not created"
"Something went wrong and the operation failed.","Something went wrong and the operation failed."
"We couldn't read the file source because the file name is empty.","We couldn't read the file source because the file name is empty."
"Connecting to server","Connecting to server"
"Reading import file","Reading import file"
"We couldn't read the import file.","We couldn't read the import file."
"Save history file content ""%1""","Save history file content ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver."
"Save file content","Save file content"
"Please correct the server type.","Please correct the server type."
"Import path %1 not exists","Import path %1 not exists"
"Could't read file","Could't read file"
"We couldn't save the file history file.","We couldn't save the file history file."
"Unknown file format","Unknown file format"
"Local Server","Local Server"
"Remote FTP","Remote FTP"
Binary,Binary
ASCII,ASCII
"Stop Import","Stop Import"
"Continue Processing","Continue Processing"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
Run,Run
"Scheduled Import/Export File History Cleaning","Scheduled Import/Export File History Cleaning"
"Save Files, Days","Save Files, Days"
"Enable Scheduled File History Cleaning","Enable Scheduled File History Cleaning"
"Are you sure you want to delete the selected scheduled imports/exports?","Are you sure you want to delete the selected scheduled imports/exports?"
Operation,Operation
"Last Run","Last Run"
"Last Outcome","Last Outcome"
